ID,AVAM_CODE_OLD,DESCRIPTION,CHISCO5_CODE,CHISCO3_CODE
3c660f9e-ebb2-4b74-8ab7-7dd2076e1ca9,100000,Anlagenführer EFZ,81000,810
0c29dce2-5fdc-43b0-b197-b1f4dc9dd490,100001,Immobilienbewirtschafter mit eidg. Fachausweis,33340,333
2b04c32d-5ccc-4797-b2a6-105698c8f332,100002,Elektro-Sicherheitsberater mit eidg. Fachausweis,74110,741
d97b01f1-56b2-4b2a-a5d7-e1555f0ac1e3,100003,Carrosseriereparateur,72130,721
0e9342fb-a068-4073-a4b5-cf0443fd6743,100004,Chief Executive Officer (CEO),11200,112
54954b3e-741f-4dd6-96f9-ddf17b0def80,100005,Chief Financial Officer (CFO),12110,121
c4e99128-a22d-430f-a187-04683765d310,100006,Chief Information Officer (CIO),13300,133
4d029168-bc98-4ef5-a6cb-802105a38ed,100007,Chief Operating Officer (COO),11200,112
11da77ae-df15-4d5f-8c45-830b4e2e3aae,100008,Kursleiter,23000,230
516fcd57-b1e5-4f1e-a9a6-985ebc714dce,100009,Dozent,23100,231
8eee7857-373b-48cc-8c04-91b2fc3ecf1a,100010,Consultant,20000,200
d367d1e7-6076-4f28-8ebd-0a3f09025378,100011,Sozialversicherungsfachmann,33530,335
d5a88c01-00a3-4942-bcba-4b6faaba6f72,100012,Gebäudetechnikplaner Heizung EFZ,31183,311
d2d56171-897b-47b4-82d9-fd251cd12e13,100013,Gebäudetechnikplaner Lüftung EFZ,31183,311
d74cabad-9efc-499d-afd5-26cf341a9eb7,100014,Gebäudetechnikplaner Sanitär EFZ,31183,311
f0670260-98ee-4a23-93d8-2f016a01228c,100015,Veranstaltungstechniker,34350,343
8dd7f954-257d-4f2e-acf4-2345b4e3a337,100016,Brandschutzfachmann,31122,311
8f031716-7c97-417a-af6a-e436369785e1,100017,Veranstaltungsfachmann EFZ,35210,352
996948f9-7f0f-4cce-912c-6f4a0fa983ad,100018,Brandschutzexperte,31122,311
eaa7f23d-8fbd-450f-9c15-e6ec8c0a25c5,100019,Tankstellenverkäufer,52230,522
6db293b3-da79-4106-96f9-cd027ac1e7b4,100020,Betreuer,53222,532
13805c16-bb62-40b9-af5d-845fe1e12236,100021,Berufsbeistand,26350,263
8395bb81-132e-481b-9485-27d888410b51,100022,Teamleiter,30002,300
d6d147ce-0423-4a63-92be-02560642363a,100023,Paralegal,34110,341
1770bd02-68ab-45f8-b954-a3d0fbf38232,100024,"Techniker HF, Haustechnik",31122,311
ed079b17-6c3a-45aa-8b49-ce535d91e78c,100025,"Techniker HF, Tiefbau",31121,311
536769cf-e6f3-49c0-8d16-03aa23013647,100026,"Techniker HF, Hochbau",31121,311
a827355e-8243-4676-820f-c09fb2db5c36,100027,"Techniker HF, Bauführer",31121,311
5ee01aec-9aa0-4ec4-8698-3e2050452acb,100028,"Techniker HF, Bauführung",31121,311
ff902058-e522-4205-bb59-bf0b0947e9ff,100029,"Techniker HF, Tiefbau und Hochbau",31121,311
d7c82e63-5f78-4ade-b6ad-0c93b298e654,100030,Fachmann Gesundheit EFZ,32210,322
9ab8c486-0e98-4aa3-98af-40479a4561c0,100031,Solartechniker,31130,311
aca0c602-5cf2-4f80-9781-dfb4fd5e96ef,100033,Sachbearbeiter Debitoren,43110,431
2cf27574-1334-4859-97dd-9a85f4a8889d,100035,Buchhaltungsangestellter,43110,431
142af8b0-fcef-44b3-9044-ca29decb0cbb,100036,Industriekletterer,71190,711
8e61c001-0564-4334-abe2-1a8da401d0e9,100037,"Führungsfachmann, eidg. FA",30002,300
40c3ff7f-4db0-42ff-9619-852607fcd3e6,100038,Oberflächenbeschichter EFZ,81220,812
80f20caa-bc54-4a07-844f-0aff3ce39b49,100039,CNC-Maschinist,72230,722
2613da21-c447-444f-91c8-842d71ae5a4c,100040,Sachbearbeiter Rechnungswesen,43110,431
aef3b0bd-19b5-4824-bc32-6729dc97f09f,100041,Fachmann Finanz- und Rechnungswesen,33130,331
2f88aee0-78f6-419d-b735-b05d04bd7f9d,100042,Sachbearbeiter Einkauf,44190,441
a599c178-afa2-4a6b-a431-1e42602ff25b,100043,"Einkaufsfachmann, eidg. FA",33230,332
c7ca4200-cf48-480c-808e-d4b6ad3fde61,100044,Exportsachbearbeiter,33310,333
dd4d70b3-9048-4cb2-94db-93009cf316e0,100045,Verkäufer Take away,52230,522
7a7714be-01ad-4142-92c3-e050a38120ca,100046,Praktiker PrA Betriebsunterhalt,51530,515
a9b3fc97-7280-4e22-b02c-3b21cfdec0af,100047,Yogalehrer,34220,342
